Select,+,Result #,X,1,2,3,4,5,Document ID,Date Published,Family ID,Pages,Title,CPCI,CPCA,Inventor,Assignee,Application Number,Filing Date,Primary Examiner,Assistant Examiner,OR,XREF,Applicant Name,Notes,Notes/Tagged,Relevancy,C
checked,2,13,,,,,,,US 20240004029 A1,1/4/2024,76316876,25,Dynamic Loading of Radar Unit Configuration Data Based on Changing Radar Parameters,G01S7/023;G01S7/352;G01S7/40;G01S7/003;G01S13/931,G01S2013/93273;G01S2013/9316;G01S2013/93274,Duncklee; Kevin et al.,,18/468312,9/15/2023,,,1-Jan,,Waymo LLC,,,6.617518,
checked,,14,,,,,,,US 20240004081 A1,1/4/2024,89433828,24,DISAMBIGUATION OF CLOSE OBJECTS FROM INTERNAL REFLECTIONS IN ELECTROMAGNETIC SENSORS USING MOTION ACTUATION,G01S17/931;G01S7/4817,B60W60/001,Gassend; Blaise Laurent Patrick,,17/809651,6/29/2022,,,1-Jan,,Waymo LLC,,,6.4651403,
checked,,15,,,,,,,US 11868133 B1,1/9/2024,51752822,24,Avoiding blind spots of other vehicles,G08G1/166;B60W30/08;B60W50/0097;B60W30/095;G05D1/0061;B60W30/0956;B60W30/12;B60W30/09;G08G1/16;B60W30/16;G08G1/167;B60W60/00272;G01C21/26;G05D1/0214;G05D1/0088,B60W2554/4041;B60W2420/408;B60W2554/806;B60W2420/403;B60W2554/60;B60W2720/10;B60W2554/402;B60W2554/00,Dolgov; Dmitri A et al.,Waymo LLC,16/779811,2/3/2020,Nguyen; Bao Long T,,1-Jan,,Waymo LLC,,,6.373069,
checked,2,16,,,,,,,US 11867808 B2,1/9/2024,69884619,26,Waveguide diffusers for LIDARs,G01S7/4818;G02B27/0955;G02B6/00;G01S17/10;G02B5/09;G01S7/4812;G01S17/02;G02B6/122,G01S7/4817;G01S7/4813;G01S17/931;G01S7/4863;G02B2006/12104;G01S17/894,Droz; Pierre-Yves et al.,Waymo LLC,17/982078,11/7/2022,Doan; Jennifer,,1-Jan,,Waymo LLC,,,6.2273,
checked,3,17,,,,,,,US 11867841 B2,1/9/2024,69887835,23,Methods and systems for dithering active sensor pulse emissions,G01S7/4815;G01S7/491;G01S7/481;G01S17/42;G01S7/484,G01S17/10,Marx; Michael et al.,Waymo LLC,18/147745,12/29/2022,Lee; John R,,1-Jan,,Waymo LLC,,,6.198945,
checked,2,18,,,,,,,US 11868050 B2,1/9/2024,75587053,24,Non-telecentric light guide elements,G01S7/4814;G02B6/4214;G01S7/4818;G03F7/702,G02B2006/12173;G02B6/138,Dunphy; James et al.,Waymo LLC,18/053255,11/7/2022,Kim; Peter B,,1-Jan,,Waymo LLC,,,6.0726986,
checked,,19,,,,,,,US 11866001 B1,1/9/2024,75587523,26,Safety considerations for self-driving vehicles,B60W60/007;G08G1/096811;B60R25/102;G05D1/0055;G08G1/09623;G08G1/127;G08G1/165;B60R25/305;B60W60/00188;B60R25/31,G05D1/0088;B60W30/09;G05D1/0214;B60W2420/408;B60W2556/45;G05D1/0246,Patnaik; Vijaysai,Waymo LLC,17/115976,12/9/2020,Sarwar; Babar,,1-Jan,,Waymo LLC,,,6.198945,
checked,1,20,,,,,,,US 11866068 B2,1/9/2024,79023627,21,Detecting and responding to malfunctioning traffic signals for autonomous vehicles,G08G1/09623;G06F18/24;G08G1/095;B60W60/0015;G06V20/584;G06V40/10;B60W60/0025,B60W2554/4029;B60W2554/408;B60W2556/20;B60W2556/10;G08G1/096725;B60W2555/60,Silver; David et al.,Waymo LLC,16/906594,6/19/2020,Scott; Jacob S.,Butler; Michael E,1-Jan,,Waymo LLC,,,6.286212,
checked,3,21,,,,,,,US 11868286 B1,1/9/2024,83902466,20,Memory validation,G06F13/4234;G06F12/0246;G06F13/1668,G06F2212/7209,Ravikumar; Sabareeshkumar et al.,Waymo LLC,18/045015,10/7/2022,Matin; Tasnima,,1-Jan,,Waymo LLC,,,6.2346582,
checked,2,22,,,,,,,US 20240011778 A1,1/11/2024,57585286,21,Determining Pickup and Destination Locations for Autonomous Vehicles,G08G1/22;G01C21/3438;G01C21/343;G08G1/205;G01C21/34;G08G1/202,,Colijn; Peter et al.,,18/223239,7/18/2023,,,1-Jan,,Waymo LLC,,,6.4651403,
checked,2,23,,,,,,,US 20240012447 A1,1/11/2024,87069478,32,Timebase Synchronization Using Pulsed Signal Injection,G01S17/10;G01S17/87;G01S7/4865;G01S17/89;G06F1/14;G06F1/12,,Sobel; David et al.,,18/473591,9/25/2023,,,1-Jan,,Waymo LLC,,,6.7139254,
checked,,24,,,,,,,US 20240010198 A1,1/11/2024,89431900,29,Methods and Systems for Adjusting Vehicle Behavior Based on Ambient Ground Relative Wind Speed Estimations,B60W40/02;B60W60/0015;G01W1/10;B60W40/13;B60W30/146;B60W50/0097;B60W40/105,B60W2422/00;B60W2556/40;B60W2420/408;B60W2520/06;B60W2556/50;G01W2203/00;B60W2050/0052;B60W2520/10;B60W2300/145;B60W2555/20,Barton-Sweeney; Andrew et al.,,17/810959,7/6/2022,,,1-Jan,,Waymo LLC,,,6.6710043,
checked,,25,,,,,,,US 11872998 B1,1/16/2024,54932261,31,Cross-validating sensors of an autonomous vehicle,B60Q9/008;G01S7/497;G06V20/56;G01S13/931;B60W50/14;B60W50/0205;G01S17/931;H04N7/181;G01D18/00;G01S13/867;G08G1/166;G06V10/98;G01S17/86;G01S13/865;G01S7/40;G08G1/163,B60W2420/408;G01S13/723;B60W2420/403;B60W2050/0215;G01S13/862;B60W2050/0043;B60R2300/8093;B60W2050/146,Zhu; Jiajun et al.,Waymo LLC,17/982892,11/8/2022,Kelley; Christopher S,Tarko; Asmamaw G,1-Jan,,Waymo LLC,,,6.2273,
checked,,26,,,,,,,US 11873043 B1,1/16/2024,70775171,61,Various interior and exterior features for autonomous vehicles,B60K37/00;B60K35/60;B60K35/55;B60Q1/06;B60N2/005;G09F21/04;B60R25/24;B62D63/025;B60Q1/507;B60Q1/04;B60K35/28;G06Q50/40;G06Q30/0645;B60Q1/543;B60K35/22;B60K35/53;B60K35/29;G06Q10/02;G09F21/0485;B60K35/10;B60Q1/085,B60L2250/16;G09F21/048;Y02T10/70;H02J7/0047;G09F2027/001;B60K35/26;B60L58/12;B60L15/40;G01R31/371;G08G1/202;H02J50/10;B60R2325/205;H02J7/0044,Ahn; YooJung et al.,Waymo LLC,17/245594,4/30/2021,Weisberg; Amy R,Zhuo; Wenwei,1-Jan,,Waymo LLC,,,6.373069,
checked,1,27,,,,,,,US 11874402 B2,1/16/2024,76209913,21,SiPM with cells of different sizes including at least one large-area cell is substantially centered along a substrate with respect to the optical axis of an aperture array,H10F77/413;H10F30/225;G01S7/4863;H10F39/107,G01S17/931,Onal; Caner et al.,Waymo LLC,17/661687,5/2/2022,Le; Que Tan,,1-Jan,,Waymo LLC,,,6.1476135,
checked,,28,,,,,,,US 11873011 B2,1/16/2024,81379804,19,Labeling lane segments for behavior prediction for agents in an environment,G06N20/00;B60W60/0027;B60W40/04,,Refaat; Khaled et al.,Waymo LLC,17/083988,10/29/2020,Nolan; Peter D,Mohamed; Anwar,1-Jan,,Waymo LLC,,,6.0433435,
checked,3,29,,,,,,,US 11875516 B2,1/16/2024,82118892,41,"Systems, apparatus, and methods for retrieving image data of image frames",G06V10/443;G06V10/751;G06T1/60;G06T7/55;G06T7/33;G06T7/223,G06T2207/10016;G06T2200/28;G06T2207/20021;G06T2207/20221;G06T2207/30252,Feng; Jia et al.,Waymo LLC,17/135337,12/28/2020,Kretzer; Casey L,,1-Jan,,Waymo LLC,,,6.3384104,
checked,,30,,,,,,,US 20240017738 A1,1/18/2024,87245594,25,PLANNING TRAJECTORIES FOR CONTROLLING AUTONOMOUS VEHICLES,B60W60/001;B60W60/00186;G01C21/3453;B60W60/0011,B60W2520/10;B60W2556/50;B60W2520/06;B60Y2302/05;B60W2520/105,Vozar; Steven et al.,,17/862658,7/12/2022,,,1-Jan,,Waymo LLC,,,6.8649855,
checked,2,31,,,,,,,US 20240017726 A1,1/18/2024,89510439,31,Lane Adjustment Techniques for Slow Lead Agents,B60W30/18163;B60W40/04;G06V20/582;G06V20/58;B60W60/0011;B60W60/0015;B60W30/16,B60W2530/205;B60W2556/45;B60W2300/145;B60W2554/406;B60W2554/408;B60W2554/4041;B60W2554/4042;B60W2554/80;B60W2555/60;B60W2420/403;B60W2556/50,Abad; Pablo et al.,,17/812317,7/13/2022,,,1-Jan,,Waymo LLC,,,6.569335,
checked,2,32,,,,,,,US 20240017741 A1,1/18/2024,89510452,26,VALIDATION OF TRAJECTORY PLANNING FOR AUTONOMOUS VEHICLES,B60W30/146;G01C21/3407;G01C21/34;B60W60/0011;B60W40/06,B60W2554/80,Sandberg; Oskar et al.,,17/863758,7/13/2022,,,1-Jan,,Waymo LLC,,,6.617518,
checked,1,33,,,,,,,US 11878683 B1,1/23/2024,57235104,26,Automated system and method for modeling the behavior of vehicles and other agents,G08G1/09626;G08G1/166;G06V20/582;G08G1/096741;G08G1/164;B60W30/095;G06V20/58;B60W50/0097;G06N20/00;G05D1/0088;B60W60/00133;G06V20/584;G06V20/588;G06V20/56;G08G1/165;G05D1/0214;G08G1/096725;B60W60/00276;G06N3/00;G08G1/096775;B60W30/09;B60W60/00274;B60W30/08;B60W30/0956;G08G1/09623,B60W2554/80;G01R19/25;B60W2554/4023;G05D1/0289;B60W2555/20;B60W2420/403;B60W2554/4029;B60W2554/00;B60W2420/408;G05D1/0212;B60W2556/10;G06V10/255;B60W2554/20,Zhu; Jiajun et al.,Waymo LLC,17/523350,11/10/2021,Elchanti; Hussein,,1-Jan,,Waymo LLC,,,6.373069,
checked,,34,,,,,,,US 11880199 B1,1/23/2024,61525538,23,System and method for determining pose data for a vehicle,G05D1/0278;G05D1/0077;G05D1/0268;G05D1/0088;B60W50/023,,LaForge; Seth Michael et al.,Waymo LLC,16/862808,4/30/2020,Goldman; Richard A,,1-Jan,,Waymo LLC,,,6.34929,
checked,,35,,,,,,,US 11879998 B2,1/23/2024,66532283,21,Mirror assembly,G02B26/122;G02B26/125;G01S17/89;G01S7/4817;G01S7/4816;G01S17/42;G01S7/4814,,Gassend; Blaise et al.,Waymo LLC,18/145158,12/22/2022,Cherry; Euncha P,,1-Jan,,Waymo LLC,,,6.2346582,
checked,2,36,,,,,,,US 11878646 B2,1/23/2024,68839530,22,Airbag extension system,B60R21/20;B60R21/0134;B60R21/264;B60R21/01554;B60R21/01512,B60R2021/0273;B60R2021/01286,McCool; Courtney,Waymo LLC,18/108952,2/13/2023,Fleming; Faye M,,1-Jan,,Waymo LLC,,,6.287856,
checked,1,37,,,,,,,US 11878703 B2,1/23/2024,69885244,15,Autonomous vehicle system for determining a pullover spot in response to detected local failure,B60W60/00253;G08G1/205;G05D1/228;B60W60/0024;B60W50/029;G08G1/202;G05D1/0088;G05D1/0072;B60W60/00256;G05D1/617,B60W2050/0292,Chi; Emily et al.,Waymo LLC,17/532547,11/22/2021,Boomer; Jeffrey C,Allen; Paul,1-Jan,,Waymo LLC,,,6.1551714,
checked,1,38,,,,,,,US 11880200 B2,1/23/2024,76687233,49,Perimeter sensor housings,G05D1/228;G05D1/024;G01S17/86;G01S17/89;G05D1/0246;G05D1/0214;B60W40/02;G01S13/89;B60W10/18;G01S13/865;G05D1/617;B60W60/001;G01S13/867;H04N23/74;G05D1/0088;G01S7/02;G01S17/931;G06V20/58;B60W10/20;G01S7/4813;G01S13/931,B60W2420/408;B60W2710/20;B60S1/56;G01S7/027;G06F18/25;B60W2720/10;B60W2420/403;B60W2710/18,Avram; Peter et al.,WAYMO LLC,17/958556,10/3/2022,Nguyen; Tan Q,,1-Jan,,WAYMO LLC,,,6.1551714,
checked,,39,,,,,,,US 11880758 B1,1/23/2024,77273954,17,Recurrent neural network classifier,G06N3/045;G06N3/044;G06V10/454;G06V20/58;G06N3/084;G06N3/08,B60W2420/408,Li; Congcong et al.,Waymo LLC,17/391627,8/2/2021,Schnee; Hal,,1-Jan,,Waymo LLC,,,6.1409836,
checked,,40,,,,,,,US 11882416 B2,1/23/2024,80271151,21,External microphone arrays for sound source localization,G01S5/18;B60W60/0027;H04R1/083;H04R1/406;B60W60/0017;H04R3/005,G01S2205/01;B60W2554/402;B60W2420/54;H04R2201/401;H04R2430/21;H04R2499/13,Chng; Choon Ping et al.,Waymo LLC,17/902187,9/2/2022,Jerez Lora; William A,,1-Jan,,WAYMO LLC,,,6.5449643,
checked,1,41,,,,,,,US 11880902 B2,1/23/2024,82118858,30,"Systems, apparatus, and methods for enhanced image capture",G06T3/4053;G06F17/16;B60R1/00;G06T3/4061;B60R11/04;G06T3/4069;G06F17/18,G06T2207/10024;B60R2300/302;B60R2300/307;G06T2207/30252;B60R2300/304;B60R2300/306,Garcia-Dorado; Ignacio et al.,Waymo LLC,17/138229,12/30/2020,Yentrapati; Avinash,,1-Jan,,Waymo LLC,,,6.1053915,
checked,,42,,,,,,,US D1011769 S,1/23/2024,,4,Wrap,,,Ahn; YooJung et al.,Waymo LLC,D/736785,6/3/2020,Acker; Karen S,,D5/59,,Waymo LLC,,,6.2422533,
checked,2,43,,,,,,,US 20240028038 A1,1/25/2024,58419125,26,PICKUP AND DROP OFF ZONES FOR AUTONOMOUS VEHICLES,G05D1/0212;G01C21/3438;G05D1/0088;G01C21/367;G08G1/205;G01C21/3667;G01C21/362;G06Q50/40;G05D1/646;G05D1/81,,Arden; Jennifer et al.,,18/230760,8/7/2023,,,1-Jan,,WAYMO LLC,,,6.5952444,
checked,1,44,,,,,,,US 20240025491 A1,1/25/2024,74190101,38,EFFICIENT AUTONOMOUS TRUCKS,B60W30/18009;G01S7/027;G01S17/87;G01S17/86;G01S13/931;G01S13/865;G05D1/628;B62D35/001;G01S13/862;B60W30/18109;G05D1/0238;G01S17/10;G01S17/931;B60W60/001;G01S17/89;G01S13/867,B60R2300/8093;B60W2420/403;G01S2013/932;G01S2013/9322;B60R2011/0094;B60R2011/0082;G01S2013/93273;G01S2013/93277;G01S2013/93274;B60W2420/408,Patnaik; Vijaysai et al.,,18/474610,9/26/2023,,,1-Jan,,WAYMO LLC,,,6.7761087,
checked,1,45,,,,,,,US 20240025454 A1,1/25/2024,81657915,17,PREDICTING BEHAVIORS OF ROAD AGENTS USING INTERMEDIATE INTENTION SIGNALS,G01S13/581;B60W60/0027;G01S13/931;G01S17/58;G01S13/58;G01S17/931;B60W60/00272,B60W2420/408;B60W2555/00;B60W2554/4029,Refaat; Khaled,,18/228365,7/31/2023,,,1-Jan,,Waymo LLC,,,6.719495,
checked,,46,,,,,,,US 20240025446 A1,1/25/2024,89577717,19,MOTION PLANNING CONSTRAINTS FOR AUTONOMOUS VEHICLES,B60W60/0015;B60W30/02,B60W2552/05;B60W2552/40;B60W2720/106;B60W2555/20;B60W2720/10;B60W2720/125;B60W2556/10,Katzourakis; Diomidis et al.,,17/894812,8/24/2022,,,1-Jan,,Waymo LLC,,,6.800789,
checked,,47,,,,,,,US 11887474 B2,1/30/2024,66244168,25,Detecting and responding to traffic redirection for autonomous vehicles,G08G1/0145;G06V20/588;G05D1/617;G05D1/0246;G08G1/056;G05D1/0214;G06V20/58;G05D1/0212;G05D1/0088;G05D1/228,G08G1/096827;G08G1/096811;G06T2207/30256;G06T2207/30236;G08G1/09623,Silver; David Harrison et al.,Waymo LLC,16/896845,6/9/2020,Nguyen; Nga X,,1-Jan,,Waymo LLC,,,6.2273,
checked,,48,,,,,,,US 11885883 B2,1/30/2024,68692590,35,LIDAR optics alignment system,G01S17/86;H04N23/55;G01S7/4811;G01S7/4972;G01S17/08;G01S17/89,H04N25/60,Shotan; Gil et al.,Waymo LLC,17/322809,5/17/2021,Hellner; Mark,,1-Jan,,Waymo LLC,,,6.34929,
checked,2,49,,,,,,,US 11884264 B2,1/30/2024,70851135,32,Driveway maneuvers for autonomous vehicles,G05D1/0088;B60W30/06;G05D1/0221;G05D1/228;G08G1/202;G08G1/168,G05D2101/15,Dyer; John Wesley et al.,Waymo LLC,17/210829,3/24/2021,Hannan; B M M,,1-Jan,,Waymo LLC,,,6.32049,
checked,,50,,,,,,,US 11886187 B1,1/30/2024,72516670,19,Planner system recovery for autonomous vehicles,B60W50/023;G05D1/0088;G05D1/0212;B60W50/0225;B60W50/029;G05D1/0077;B60W60/00186,B60W2556/10;B60W2050/0292,Sucan; Ioan-Alexandru,Waymo LLC,17/735191,5/3/2022,Butler; Rodney A,,1-Jan,,Waymo LLC,,,6.2980375,
checked,,51,,,,,,,US 11887380 B1,1/30/2024,74537253,25,Sidewalk detection for pedestrian behavior modeling,G06T5/77;G06F18/2113;G06T7/20;G05D1/0231;G06V20/58;G06V20/588;G05D1/0276;B60W60/0017;G06V40/103,G06T2207/30241;G06T2207/30196;G06T2207/20084;B60W2552/45;G06T2207/10024;G06T2207/30252;G06T2207/20081;G06F18/2148;G06T2207/10016;G06T2207/30261,Russell; Jared Stephen,Waymo LLC,17/144209,1/8/2021,Almatrahi; Faris S,Khaled; Abdalla A,1-Jan,,Waymo LLC,,,6.198945,
checked,2,52,,,,,,,US 11887378 B2,1/30/2024,76547020,49,Close-in sensing camera system,H04N23/51;G01S17/894;G06V20/58;H04N23/56;B60R11/04;G01S17/931;G06V20/56;G01S17/86;H04N23/80;H04N23/74,H04N23/698;H04N23/90;B60R2300/8093;B60R2011/004;B60R2300/301;B60R2300/802,Toth; Kimberly et al.,Waymo LLC,18/081260,12/14/2022,Aynalem; Nathnael,,1-Jan,,WAYMO LLC,,,6.0433435,
checked,,53,,,,,,,US 11884291 B2,1/30/2024,80002584,24,Assigning vehicles for transportation services,G06Q10/06315;G06N5/04;B60W30/18163;G06Q50/40;G06Q10/047;G06N20/00;G06Q10/06311;B60W60/001,,Gao; Xiang et al.,Waymo LLC,16/983594,8/3/2020,Nolan; Peter D,"Redhead, Jr.; Ashley L",1-Jan,,Waymo LLC,,,6.5449643,
checked,1,54,,,,,,,US 11885639 B2,1/30/2024,80114874,25,Generating scouting objectives,G05D1/0088;G05D1/228;G01C21/3822;G01C21/3841,,Patterson; Katharine et al.,Waymo LLC,16/989485,8/10/2020,Lonsberry; Hunter B,Pinkerton; Robert Louis,1-Jan,,Waymo LLC,,,6.173177,
checked,,55,,,,,,,US 11885626 B2,1/30/2024,82120131,26,Systems and methods for updating pickup and dropoff locations for a vehicle,B60W60/0025;G01C21/3804;G01C21/3617;B60W60/001;G06V20/56;G01C21/3438;G08G1/202;G01C21/3605,G06V20/58;G06V20/588,Friedman; Eric et al.,Waymo LLC,17/134491,12/27/2020,Antonucci; Anne Marie,Brady; Patrick M,1-Jan,,Waymo LLC,,,6.286212,
checked,1,56,,,,,,,US 11889278 B1,1/30/2024,84331770,26,Vehicle sensor modules with external audio receivers,H04R1/02;H04R1/083;H04R3/005,B60W60/001;H04R1/326;B60W50/14;B60W30/18154;B60W2554/806;B60W30/0956;H04R2499/13;H04R2410/07,Wu; Cheng-Han et al.,Waymo LLC,17/645588,12/22/2021,Jerez Lora; William A,,1-Jan,,Waymo LLC,,,6.216815,
checked,,57,,,,,,,US D1012739 S,1/30/2024,,56,Sensor assembly,,,Ahn; YooJung et al.,Waymo LLC,D/818364,12/8/2021,Davis; Antoine Duval,,D10/70,D10/65;D12/187,Waymo LLC,,,6.198945,
checked,2,58,,,,,,,US 20240036583 A1,2/1/2024,54609194,24,Assisted Perception for Autonomous Vehicles,G07C5/008;B60W40/04;G05D1/0022;G05D1/0088;G05D1/226;G05D1/249;G05D1/00;G06V20/56;G06V20/58;G05D1/0246;G05D1/81,B60W2050/0075;B60W2050/0215;B60W2556/45;H04L67/125,Ferguson; David Ian et al.,,18/484090,10/10/2023,,,1-Jan,,Waymo LLC,,,6.502041,
checked,,59,,,,,,,US 20240035833 A1,2/1/2024,72747650,19,ADVANCED TRIP PLANNING FOR AUTONOMOUS VEHICLE SERVICES,G01C21/3676;G06Q50/40;G05D1/0293;G01C21/3438;G05D1/0027;G01C21/3492;G05D1/0272;G01C21/3484;G01C21/343,,Wang; Ben Qingzhou et al.,,18/487549,10/16/2023,,,1-Jan,,WAYMO LLC,,,6.617518,
checked,,60,,,,,,,US 20240040225 A1,2/1/2024,81078054,25,Camera Module with IR LEDs for Uniform Illumination,H04N23/55;H04N23/56;G02B3/0006;G02B5/208;H04N5/77;G02B19/009;H04N23/54;G02B5/0215;H04N23/12;G01S17/42;G02B13/06;G01S17/931;H04N23/11;G02B19/0052;G01S17/58;G01S17/86;B60R11/04;G01S17/87;G02B5/0278,G01S7/4815;B60R2011/0003;G01S13/867;G01S13/865;H04N5/76,Chng; Choon Ping et al.,,18/487245,10/16/2023,,,1-Jan,,Waymo LLC,,,6.7761087,
checked,,61,,,,,,,US 11892842 B2,2/6/2024,64998817,26,Methods and systems for vehicle occupancy confirmation,B60R22/48;B60W40/08;B60R1/008;G06V20/593;B60N2/0024;H04N7/188;H04N7/183;G05D1/228;G05D1/0088;G06T11/60,B60R2300/105;B60R2022/4816;G08G1/202,Herbach; Joshua,Waymo LLC,17/452493,10/27/2021,Greene; Daniel L,,1-Jan,,Waymo LLC,,,6.286212,
checked,,62,,,,,,,US 11892307 B2,2/6/2024,72838419,22,Stranding and scoping analysis for autonomous vehicle services,G01C21/3807;G01C21/3438;G01C21/3461;G06F30/20,G06F30/15,Abrams; Austin,Waymo LLC,17/381276,7/21/2021,Frejd; Russell,Thomas; Ana D,1-Jan,,Waymo LLC,,,6.1476135,
checked,2,63,,,,,,,US 11893524 B2,2/6/2024,74044750,30,Service area maps for autonomous vehicles,H04W4/021;G06Q10/06315;H04W4/40;G06Q10/02;G06Q50/40;G08G1/202;G06Q10/06312,,Margines; David et al.,Waymo LLC,18/112047,2/21/2023,Nguyen; Nga B,,1-Jan,,Waymo LLC,,,6.187685,
checked,,64,,,,,,,US 11892777 B2,2/6/2024,74870355,19,Systems and methods for contact immersion lithography,G03F7/70341;G03F7/7035;G03F7/70925,,Shi; Hongqin et al.,Waymo LLC,18/046403,10/13/2022,Kim; Peter B,,1-Jan,,Waymo LLC,,,6.2422533,
checked,3,65,,,,,,,US 11892567 B2,2/6/2024,75687191,27,LIDAR pulse elongation,G01S7/497;G01S17/04;G01S7/4861;G01S7/4802;G01S17/931,,Wachter; Luke et al.,Waymo LLC,17/932121,9/14/2022,Murphy; Daniel L,,1-Jan,,Waymo LLC,,,6.1551714,
