Select,+,Result #,X,1,2,3,4,5,Document ID,Date Published,Family ID,Pages,Title,CPCI,CPCA,Inventor,Assignee,Application Number,Filing Date,Primary Examiner,Assistant Examiner,OR,XREF,Applicant Name,Notes,Notes/Tagged,Relevancy,C
,,14,,,,,,,US 11901310 B2,2/13/2024,68104806,11,Electronic assembly,H05K1/0271;H01L25/18;H01L23/562;G06F1/188;H01L25/165;H01L25/0652,H01L25/0655;H05K3/3415;H05K2201/10378;H01L25/072;H05K1/0262;H05K1/181;H01L23/32;H01L23/36;H01L23/5386;H05K2201/2009;H01L23/4006;H01L2224/32225;H01L2224/16225;H01L2224/73204;H05K2201/10409;H01L2224/73204;H01L2224/16225;H01L2224/32225;H01L2924/00,Pang; Mengzhi et al.,"Tesla, Inc.",17/276071,9/19/2019,Nguyen; Hoa C,,1-Jan,,"Tesla, Inc.",,,6.8665247,
,,15,,,,,,,US 20240051270 A1,2/15/2024,73835808,15,DURABLE GLASS FOR VEHICLE,B32B17/101;B32B17/10036;B32B17/10091;B32B17/10899;B32B17/10137;B32B7/12;B32B27/08;B32B17/10119;B32B17/10651;B32B17/10045;B32B1/00;B32B27/30,B32B2250/04;B32B2307/102;B32B2605/08;B32B2307/416;B32B2250/40;B32B2307/558;B32B2250/05;B32B2307/402;B32B2371/00;B32B2307/4026;B32B2307/584;B32B2315/08;B32B2307/718;B32B2250/03;B32B2307/72;B32B2307/412;B32B2605/006,Mottsmith; Rosemary et al.,,18/477373,9/28/2023,,,1-Jan,,"TESLA, INC.",,,7.0253067,
,,16,,,,,,,US 20240055681 A1,2/15/2024,79830992,25,PROCESS FOR RECOVERING MATERIALS FROM SPENT RECHARGEABLE LITHIUM BATTERIES,C22B23/028;C22B26/12;C22B3/22;C22B23/021;H01M10/54;C22B23/065;C22B7/002;C22B23/02,Y02P10/20;Y02W30/84,Zou; Feng et al.,,18/259038,12/21/2021,,,1-Jan,,"TESLA, INC.",,,7.270879,
,,17,,,,,,,US 20240051558 A1,2/15/2024,89846671,27,AUTOMATED ADJUSTMENT OF VEHICLE DIRECTION BASED ON ENVIRONMENT ANALYSIS,B60W50/082;B60W60/00;B60W30/18036,B60W2540/215;B60W2540/30;B60W2556/50;B60W2540/12;B60W30/06;B60W2720/24;B60W2510/186,Shivaprasad; Shreyas et al.,,18/449606,8/14/2023,,,1-Jan,,"Tesla, Inc.",,,7.2723417,
,,18,,,,,,,US 11904713 B2,2/20/2024,43928284,17,Hazard mitigation through gas flow communication between battery packs,H01M10/32;H01M12/08;B60L58/20;B60L53/65;H01M10/0525;H01M10/486;H01M10/633;H01M10/443;H01M50/317;B60L53/14;H01M16/006;H02J7/0029;H01M10/345;B60L1/003;B60L3/0061;B60L58/26;B60L58/27;B60L3/003;B60L58/21;H01M50/253;B60L50/51;B60L1/02;H01M16/00;H01M10/613;H01M50/204;H01M50/375;B60L58/16;B60L58/12;H01M10/30,H01M2220/20;Y02T90/167;H01M10/6561;Y02E60/10;B60L2240/36;B60L2250/12;B60L58/24;B60L2240/12;B60L50/64;B60L2240/545;Y02E60/50;Y02T10/70;Y02T10/7072;Y02T90/12;H02J7/14;Y02T90/14;Y02T90/16;B60L2240/662;B60L3/0046;B60L2240/547;H01M2200/20;Y02T10/64;Y04S30/14;H01M12/06;H01M10/6567;B60L2240/14;B60L2210/30;H01M2200/10;Y02T10/72;B60L2240/421,Hermann; Weston Arthur,"Tesla, Inc.",17/008484,8/31/2020,Ruddock; Ula C,Chernow; Frank A,1-Jan,,"Tesla, Inc.",,,6.738985,
,1,19,,,,,,,US 11909041 B2,2/20/2024,68101076,11,Method to produce cathode materials for Li-ion batteries,C01G53/00;C01G53/42;H01M10/0525;H01M4/485;H01M4/525;H01M4/505;C01G53/82,C01P2004/32;C01P2006/11;C01P2002/52;H01M2004/028;Y02E60/10;C01P2004/61;C01P2004/51;C01P2002/72;C01P2004/03;C01P2006/40;C01P2002/54,Zou; Feng et al.,"Tesla, Inc.",16/976788,4/3/2019,Godenschwager; Peter F,,1-Jan,,"Tesla, Inc.",,,6.748295,
,3,20,,,,,,,US 11908171 B2,2/20/2024,70849666,22,Enhanced object detection for autonomous vehicles based on field view,G05D1/228;G05D1/0253;G06F18/211;G06V10/809;G05D1/2435;G05D1/246;G05D1/227;G05D1/2465;G05D1/0251;G06F18/254;G05D1/0088;G06V20/58;G06V10/25,,Shen; Anting et al.,"Tesla, Inc.",18/145632,12/22/2022,Patel; Mahendra R,,1-Jan,,"Tesla, Inc.",,,6.7333565,
,,21,,,,,,,US 20240063084 A1,2/22/2024,60201667,22,INVERTER,H01L23/53238;H01L23/367;H02M7/537;H10D84/403;H01L23/3735;H01L24/75;H02M7/003;H01L23/3736;H10D84/811,H01L24/32;H01L25/18;H01L2924/1033;H10D30/60;H10D62/8503;H01L2224/32225;H01L25/117;H10D62/8325;H01L2924/10272;H01L23/3677;H01L2224/29339;H10D12/441;H01L2924/10253;H01L2224/753;H01L2924/13091;H01L25/074;H01L2224/32145;H01L2924/12036;H01L2924/13055;H01L24/29;H01L25/115;H01L2224/8384;H01L2924/3511;H01L24/83;H01L2224/7598;H01L2224/753;H01L2924/00012;H01L2224/29339;H01L2924/00014,Liu; Wenjun et al.,,18/498432,10/31/2023,,,1-Jan,,"Tesla, Inc.",,,7.318183,
,,22,,,,,,,US 20240060490 A1,2/22/2024,64737943,29,ELECTRIC PUMP SYSTEM AND METHOD,F04B1/04;F04B17/03;F04C14/26;F04C11/008;F04C15/0096;H02K11/25;F04C2/104;F04B53/18;F04C2/102;F04B53/16;H02K9/19;H02K11/33;F04B49/065;F04B53/08;F04C14/28;H02K7/14;F04C15/06;F04B51/00,F04C2240/808;F04B2205/11;F04B2201/1201;Y02T10/64;F04C2240/603;F04C2240/40;H02K1/32,Graves; Scott Michael et al.,,18/385307,10/30/2023,,,1-Jan,,"Tesla, Inc.",,,7.177637,
,,23,,,,,,,US 20240061482 A1,2/22/2024,80787162,16,VOLTAGE REGULATING MODULE DESIGN FOR THE USE OF UNDERFILL,H01L23/562;H01L25/18;H01L23/49816;H01L25/16;G06F1/26;H01L23/367;G06F1/20,H01L25/112;H01L2924/15311;H01L2224/73204;H01L24/20;H01L2224/12105;H01L2224/24137;H01L23/473;H01L21/563;H10D62/117,Krithivasan; Vijaykumar et al.,,18/260216,1/20/2022,,,1-Jan,,"Tesla, Inc.",,,7.4063015,
,,24,,,,,,,US 20240060332 A1,2/22/2024,83049660,15,MANAGING SHAPE MEMORY ALLOY ACTUATORS,E05B83/32;E05B83/30;E05B47/0009;E05B83/28,,Kaliyanda; Aneesh et al.,,18/261017,2/24/2022,,,1-Jan,,"Tesla, Inc.",,,6.9827914,
,,25,,,,,,,US 20240062556 A1,2/22/2024,89907016,19,VISION-BASED MACHINE LEARNING MODEL FOR LANE CONNECTIVITY IN AUTONOMOUS OR SEMI-AUTONOMOUS DRIVING,G06V10/80;G06V10/457;G06V10/82;G06V20/588,,Cho; Patrick et al.,,18/452466,8/18/2023,,,1-Jan,,"Tesla, Inc.",,,7.2723417,
,,26,,,,,,,US 20240072305 A1,2/29/2024,67842129,23,"NOVEL BATTERY SYSTEMS BASED ON TWO-ADDITIVE ELECTROLYTE SYSTEMS INCLUDING 2-FURANONE, AND METHOD OF FORMATION PROCESS OF SAME",H01M4/364;H01M10/0569;H01M10/4235;H01M10/058;H01M4/525;H01M4/587;H01M4/483;H01M10/446;H01M10/0525;H01M4/505;H01M10/049;H01M10/0567,H01M2300/004;Y02P70/50;Y02E60/10;H01M2300/0037,Dahn; Jeffery Raymond et al.,,18/482721,10/6/2023,,,1-Jan,,"Tesla, Inc.",,,7.28675,
,2,27,,,,,,,US 20240070460 A1,2/29/2024,69740602,17,GENERATING GROUND TRUTH FOR MACHINE LEARNING FROM TIME SERIES ELEMENTS,G06V20/588;G05D1/0221;G06N3/08;G06F18/28;G16Y20/10,G06N3/04,Elluswamy; Ashok Kumar et al.,,18/459954,9/1/2023,,,1-Jan,,"Tesla, Inc.",,,7.4662375,
,,28,,,,,,,US 20240066951 A1,2/29/2024,80446641,15,THERMAL SYSTEM FOR A VEHICLE,B60H1/00871;B60H1/3414;B60H1/242,,Kawar; Brendan et al.,,18/270462,1/27/2022,,,1-Jan,,"Tesla, Inc.",,,7.4063015,
,,29,,,,,,,US 11919411 B2,3/5/2024,73740611,12,Leak detection in a cable assembly,B60L53/60;H02J7/0045;H02J7/007188;H01B7/32;B60L53/302;B60L53/18;B60L53/305;H01B7/423;G01M3/181,Y02T90/14;Y02T10/70;Y02T10/7072;H01B9/02;Y02T90/16,Fortin; Pascal-Andre et al.,"Tesla, Inc.",18/093766,1/5/2023,Robbins; Jerry D,,1-Jan,,"Tesla, Inc.",,,6.7607536,
,,30,,,,,,,US D1017512 S,3/12/2024,,9,Curved center screen,,,Blades-Nixon; Peter et al.,"Tesla, Inc.",D/670457,11/15/2018,Krakower; Susan E,Hsu; Jerry Shiuan-Hua,D12/415,,"TESLA, INC.",,,6.763072,
,,31,,,,,,,US 20240085203 A1,3/14/2024,54241100,37,TRIP PLANNING WITH ENERGY CONSTRAINT,G01C21/3469;G01C21/3697,Y02T90/40;Y02T10/72,Baglino; Andrew D. et al.,,18/352597,7/14/2023,,,1-Jan,,"Tesla, Inc.",,,7.498143,
,2,32,,,,,,,US 20240085915 A1,3/14/2024,66328539,26,AUTONOMOUS DRIVING SYSTEM EMERGENCY SIGNALING,G05D1/0214;B60Q9/00;H04J3/1682;B60W50/023;G05D1/24;H04J3/00;G05D1/0268;G05D1/617,G06N3/045;G06N3/08;G05D1/0088;G05D1/227,Cave; Michael D.,,18/332224,6/9/2023,,,1-Jan,,"Tesla, Inc.",,,7.3090296,
,1,33,,,,,,,US 20240086270 A1,3/14/2024,66534507,14,SYSTEM AND METHOD FOR HANDLING ERRORS IN A VEHICLE NEURAL NETWORK PROCESSOR,G06F11/0793;G06F11/3006;G06N3/045;G06N3/08;G06N3/02;G06F11/0757;G06F11/0739;G06F11/327;G06F11/1438;G06F11/3055;G06F11/0772;G06F11/0721;G06F11/0751,G06N3/044;G05B23/0289;G06N3/048,Hsiong; Christopher et al.,,18/452419,8/18/2023,,,1-Jan,,"Tesla, Inc.",,,6.9827914,
,,34,,,,,,,US 20240088547 A1,3/14/2024,80786789,23,MULTI-BAND ANTENNA,H01Q1/1278;B60R1/12;H01Q1/36;H01Q13/106;H01Q15/008;H01Q1/02;H01Q15/14;H01Q21/064;H01Q1/3266,B60R2001/1261,Konanur; Anand S. et al.,,18/259764,1/19/2022,,,1-Jan,,"Tesla, Inc.",,,7.4662375,
,,35,,,,,,,US 11933660 B2,3/19/2024,64737991,38,Vehicle occupant classification systems and methods,B60N2/0026;G01V9/00;G01G19/12;B60R21/01516;G01G19/44;B60N2/0025;G01G19/4142,B60N2230/10;B60N2210/12;B60N2220/30;B60N2230/20;B60N2210/46;B60R2021/01088;B60N2210/40;G01G7/06,Aina; Akin et al.,"Tesla, Inc.",17/360456,6/28/2021,Saint Surin; Jacques M,,1-Jan,,"Tesla, Inc.",,,6.524166,
,,36,,,,,,,US 11932184 B2,3/19/2024,67542038,12,High-speed-wiring-system architecture,H04L12/437;B60R16/0231;H04L12/42;H04L45/22,H04L2012/40273,Esmail; Adnan et al.,"Tesla, Inc.",17/971313,10/21/2022,Onamuti; Gbemileke J,,1-Jan,,"Tesla, Inc.",,,6.6073217,
,1,37,,,,,,,US 11932078 B2,3/19/2024,83448700,25,Electric vehicle heat pump using enhanced valve unit,B60H1/00899;B60H1/08;B60H1/00485;B60H1/00342;B60H1/32284;B60H1/00392,,Pinto; Prem et al.,"Tesla, Inc.",17/657320,3/30/2022,Norman; Marc E,,1-Jan,,"Tesla, Inc.",,,6.9258575,
,,38,,,,,,,US 11942591 B2,3/26/2024,59276898,18,Battery cell having welded battery cap,H01M50/3425;H01M50/147;H01M50/169;H01M50/107;H01M10/0431;H01M50/578,Y02E60/10;H01M2220/20;Y02P70/50;H01M50/56,Masumoto; Kenjin et al.,"Tesla, Inc.",18/052872,11/4/2022,Dignan; Michael L,,1-Jan,,"Tesla, Inc.",,,6.524166,
,1,39,,,,,,,US 11938796 B2,3/26/2024,73834606,10,Vehicle with exoskeleton,B62D23/00;B62D29/00;B60J5/0463;B60K1/00;B60J5/045;B60J5/0415;B62D25/04;B62D21/157;B62D25/02;B62D65/02,,Clarke; Alan Paul et al.,"Tesla, Inc.",16/953036,11/19/2020,Pedder; Dennis H,,1-Jan,,"Tesla, Inc.",,,6.6073217,
,1,41,,,,,,,US 11949089 B2,4/2/2024,69650700,19,Compositions and methods for prelithiating energy storage devices,H01M4/139;H01M4/0435;H01M4/0445;H01M4/62;H01M4/625;H01M4/362;H01M10/0525;H01M4/38;H01M4/13,H01M4/1391;H01M4/623;H01M4/131;H01M10/052;H01M4/525;H01M4/136;H01M2004/028;Y02E60/10;H01M4/1397;Y02P70/50,Wang; Ziying et al.,"Tesla, Inc.",16/742021,1/14/2020,Douyette; Kenneth J,,1-Jan,,"Tesla, Inc.",,,6.7333565,
,,42,,,,,,,US 20240112051 A1,4/4/2024,70848702,12,MACHINE LEARNING MODELS OPERATING AT DIFFERENT FREQUENCIES FOR AUTONOMOUS VEHICLES,G06N20/00;G06N5/04;G06N3/045,G06N20/10,Shen; Anting,,18/482332,10/6/2023,,,1-Jan,,"Tesla, Inc.",,,7.347925,
,,43,,,,,,,US 11955921 B2,4/9/2024,72088411,36,System and method for improving color appearance of solar roofs,H10F19/85;H10F77/707;H10F19/807;H02S20/25;H10F77/311;H10F77/00;H10F71/121;H10F77/1642,Y02E10/547;Y02E10/546;Y02B10/10;Y02E10/50,Liu; John et al.,"Tesla, Inc.",17/841034,6/15/2022,Sun; Michael Y,,1-Jan,,"Tesla, Inc.",,,6.748295,
,,44,,,,,,,US 20240120878 A1,4/11/2024,82608193,23,PHOTOVOLTAIC ROOF TILE CONNECTION CONFIGURATION,E04D1/30;H02S20/25;H02S40/34;H02S40/36,Y02B10/10;Y02E10/50;E04D2001/308,NADIMPALLY; Bhavananda Reddy et al.,,18/540518,12/14/2023,,,1-Jan,,"Tesla, Inc.",,,7.270879,
,,45,,,,,,,US 11960901 B2,4/16/2024,68291173,20,Autonomous driving controller parallel processor boot order,G06F9/4405;B60R16/023;G05D1/0088;G05D1/617;G05D1/0055;G06F21/575;G05D1/81;G05D1/0077,B60R25/00,Kaminski; Patryk et al.,"Tesla, Inc.",18/173656,2/23/2023,Misiura; Brian T,,1-Jan,,"Tesla, Inc.",,,6.777359,
,1,47,,,,,,,US 11962030 B2,4/16/2024,73854919,19,Integrated energy storage system,H01M50/242;H01M10/625;H01M10/6567;H01M50/213;B60L50/64;H01M50/249;H01M50/273;H01M10/658;H01M10/6561;H01M50/24;H01M10/6556;H01M10/613;H01M10/659;H01M50/271;H01M10/643,H01M2220/20;Y02E60/10;H01M2220/10,Pires; Andrew et al.,"Tesla, Inc.",17/100700,11/20/2020,Park; Lisa S,,1-Jan,,"Tesla, Inc.",,,6.64041,
,,48,,,,,,,US 20240126547 A1,4/18/2024,67392192,31,INSTRUCTION SET ARCHITECTURE FOR A VECTOR COMPUTATIONAL UNIT,G06F17/16;G06F9/3001;G06F9/30043;G06F9/30018;G06F9/3013;G06F9/30036;G06F9/3853;G06F9/30038;G06F9/30032,,Das Sarma; Debjit et al.,,18/490672,10/19/2023,,,1-Jan,,"Tesla, Inc.",,,6.980731,
,,49,,,,,,,US 20240125934 A1,4/18/2024,69163137,12,ANNOTATION CROSS-LABELING FOR AUTONOMOUS CONTROL SYSTEMS,G06V10/776;G01S17/00;G01S17/894;G06T7/521;G01S17/86;G01S17/89;G06V20/56;G06V20/10;G06V10/809;G01S17/931,B60W2420/403;B60W2420/408;B60W60/001,Shen; Anting,"Tesla, Inc.",18/534443,12/8/2023,,,1-Jan,,"Tesla, Inc.",,,7.236702,
,2,50,,,,,,,US 20240127599 A1,4/18/2024,69784535,18,ESTIMATING OBJECT PROPERTIES USING VISUAL IMAGE DATA,G06F18/251;G06V20/584;G06N20/00;G06V20/58;G06V10/803;G06T7/70,G06T2207/20081;G06T2207/30261,Musk; James Anthony et al.,,18/473059,9/22/2023,,,1-Jan,,"Tesla, Inc.",,,7.236702,
,1,51,,,,,,,US 20240136303 A1,4/25/2024,80685402,15,WAFER ALIGNMENT STRUCTURE,H01L23/367;H01L23/473;H01L23/544;H01L23/562,H01L2223/54486;H01L2223/54426,Li; Yong guo et al.,,18/548433,2/23/2022,,,1-Jan,,"Tesla, Inc.",,,7.318183,
,,52,,,,,,,US 11973004 B2,4/30/2024,68109477,16,Mechanical architecture for a multi-chip module,H01L25/18;H01L25/0652;H01L25/071;H01L23/49822;H01L23/49838;H01L25/50;H01L23/4006,H01L2023/4087;H01L2023/4081,Cao; Robert Yinan et al.,"Tesla, Inc.",17/277893,9/19/2019,Hoang; Quoc D,,1-Jan,,"Tesla, Inc.",,,6.777359,
,,53,,,,,,,US 20240140163 A1,5/2/2024,65517697,56,VEHICLE THERMAL MANAGEMENT SYSTEMS,B60H1/32281;B60H1/00278;B60H1/00907;B60H1/00564;B60H1/22;B60H1/00921;B60H1/26;B60L58/26,B60H2001/2246;B60H1/143;B60H2001/00307;B60H2001/00949;B60H1/3213;B60H2001/327;Y02T10/70;B60H2001/00928;B60H1/00392,Mancini; Nicholas et al.,,18/500665,11/2/2023,,,1-Jan,,"Tesla, Inc.",,,7.189289,
,,54,,,,,,,US 20240145432 A1,5/2/2024,80820215,15,COOLED SYSTEM-ON-WAFER WITH MEANS FOR REDUCING THE EFFECTS OF ELECTROSTATIC DISCHARGE AND/OR ELECTROMAGNETIC INTERFERENCE,H01L23/552;H01L25/16;H01L25/0655;H01L23/36;H01L25/50;H01L23/60;H01L24/48;H01L23/3672;H01L25/0652,H01L2224/16221;H01L2224/48245;H01L24/16,Pang; Mengzhi et al.,,18/549307,3/1/2022,,,1-Jan,,"TESLA, INC.",,,7.318183,
,,55,,,,,,,US 20240154128 A1,5/9/2024,66429475,18,COMPOSITIONS AND METHODS FOR DRY ELECTRODE FILMS INCLUDING MICROPARTICULATE NON-FIBRILLIZABLE BINDERS,H01M10/0525;H01M4/583;H01M4/0435;H01M4/623;H01M4/1393;H01M4/622;H01M4/0404,C08L2203/20;C08L27/16;C08L1/286;C08L27/18;Y02E60/10,Wang; Ziying et al.,,18/495106,10/26/2023,,,1-Jan,,"Tesla, Inc.",,,7.28675,
,1,56,,,,,,,US 11983630 B2,5/14/2024,69641304,21,Neural networks for embedded devices,G06N3/045;G06N3/063;G06F7/575;G06N3/08,,Iandola; Forrest Nelson et al.,"Tesla, Inc.",18/156628,1/19/2023,Snyder; Steven G,,1-Jan,,"Tesla, Inc.",,,6.763072,
,1,57,,,,,,,US 11981648 B2,5/14/2024,73744716,45,"Method for the synthesis of 3-R-1,4,2-dioxazol-5-ones",C07D413/04;C07D273/01,,Hall; David S. et al.,"Tesla, Inc.,Panasonic Holdings Corporation",17/855414,6/30/2022,Yoo; Sun Jae,,1-Jan,,"Tesla, Inc.",,,6.7607536,
,,58,,,,,,,US 20240163973 A1,5/16/2024,81327530,16,MANAGING HEATING ELEMENT OPERATIONAL PARAMETERS,G01S13/867;G01S13/862;H05B3/84;B60R19/483;G01S7/4047;H05B1/0236;G01S13/931,H05B2214/02;G01S2013/9316;H05B2203/002;H05B2203/013;G01S2013/93275,Bhandari; Rishabh et al.,,18/549881,3/17/2022,,,1-Jan,,"Tesla, Inc.",,,7.162243,
,1,59,,,,,,,US 11990278 B2,5/21/2024,64332397,25,Compositions and methods for multilayer electrode films,H01G11/26;H01M4/136;H01G11/38;H01M4/0435;H01G11/28;H01M4/043;H01G11/86;H01M4/139;H01G11/04;H01M4/38;H01M4/13;H01M10/04;H01M4/366,H01M4/622;Y02P70/50;H01G11/50;Y02E60/10;H01M4/5815,Shin; Joon Ho et al.,"Tesla, Inc.",16/176420,10/31/2018,Cano; Milton I,Henshaw; Mary G,1-Jan,,"Tesla, Inc.",,,6.763072,
,,60,,,,,,,US 20240167598 A1,5/23/2024,81579567,12,HYDRAULIC COUPLING DEVICE,H01M10/625;F16L33/28;F28F9/0258;B60L50/64;H01M10/6568;B60L58/26;H01M10/613;F16L33/30,B60L2240/545;H01M2220/20;Y02E60/10,Subbayya; Vivek et al.,,18/551370,4/19/2022,,,1-Jan,,"Tesla, Inc.",,,6.9827914,
,,61,,,,,,,US 20240171118 A1,5/23/2024,89223737,33,PHOTOVOLTAIC ROOFING TILE FOOT,H02S40/36;H02S30/10;H02S20/25,Y02B10/10;Y02E10/50,MOLINA; David et al.,,18/511905,11/16/2023,,,1-Jan,,"Tesla, Inc.",,,7.1988163,
,1,62,,,,,,,US 11996547 B2,5/28/2024,61906067,28,Large-format battery anodes comprising silicon particles,H01M4/0471;H01M4/624;H01M50/411;H01M4/0404;H01M4/386;H01M4/133;H01M4/587;H01M4/0409;H01M4/134;H01M4/364,H01M2004/021;H01M2004/027;Y02E60/10,Evans; Tyler et al.,"Tesla, Inc.",17/808285,6/22/2022,Vo; Jimmy,,1-Jan,,"TESLA, INC.",,,6.8833656,
,,63,,,,,,,US D1029580 S,6/4/2024,,13,Beverage bottle,,,Verdura; Javier,"Tesla, Inc.",D/818664,12/9/2021,Stout; Michael C,Polidori; Tia Ruth-Renee,D7/510,D9/566,"Tesla, Inc.",,,6.738985,
,,64,,,,,,,US 20240181908 A1,6/6/2024,81392884,14,CHARGING SYSTEM WITH COOLING SYSTEM,B60L53/18;B60L53/302;B60L53/16,B60L2240/36,Sasaridis; Dino et al.,,18/285640,4/6/2022,,,1-Jan,,"Tesla, Inc.",,,7.1805243,
,,65,,,,,,,US 20240185445 A1,6/6/2024,90191808,18,ARTIFICIAL INTELLIGENCE MODELING TECHNIQUES FOR VISION-BASED OCCUPANCY DETERMINATION,G06V20/647;G06T7/62;G06T15/08;G06N3/0464;G06V10/764;G06N3/045;G06V20/58,G06T2207/30252;B60W60/001;G06T2207/20081;B60W2420/403,DUAN; Pengfei Phil et al.,"Tesla, Inc.",18/440764,2/13/2024,,,1-Jan,,"Tesla, Inc.",,,7.1555796,
,1,66,,,,,,,US 12010039 B2,6/11/2024,70279860,11,Vehicle network and method of communication,H04L47/722;H04L47/805;H04L12/40163;H04L67/12;H04J3/0652;H04L47/801;H04J3/1694,,Esmail; Adnan et al.,"TESLA, INC.",18/145543,12/22/2022,Pham; Chi H,Yea; Ji-Hae,1-Jan,,"Tesla, Inc.",,,6.8665247,
,1,67,,,,,,,US 12014553 B2,6/18/2024,69726798,23,Predicting three-dimensional features for autonomous driving,G06F18/2413;G06F18/214;G06V10/82;G05D1/0221;G05D1/0223;G06V20/588;G06T7/20;G06V10/764;G06N20/00;G06N3/08;G05D1/249;G05D1/617;G05D1/0214;G05D1/0231;G05D1/65,G06T2207/30241;G06V2201/10;G06T2207/20084;G06T2207/30256;G06T2207/20076;G06T2207/20081,Elluswamy; Ashok Kumar et al.,"TESLA, INC.",17/450914,10/14/2021,Tissot; Adam D,Evans; Garrett F,1-Jan,,"Tesla, Inc.",,,6.9258575,
